ID,Origen,Tecnico,Nombre_Tecnico,Email,Cuadrilla,Dia,Fecha,Destino,Region,Direccion,En_RM,Equipos,Tecnicos_En_Sitio,Tandas,Horas_Trabajo,Horas_Jornada,Horas_Extra,Costo_Horas_Extra,Conduccion_Dia,Conduccion_Por_Tecnico,Vehiculo,Conductor,Noches,Hotel_Zona,Hotel_Direccion,Km_Ida,Km_Dia,Viatico,Hotel_Monto,Peaje,Combustible,Gastos_Extra,Total_Transferencia,Estado,Observaciones,Foto_Instalacion,Firma_Cliente
ORD-011,CASO_1,T03,Diego Munoz,t03@servicioenruta.cl,C2,D2,2026-09-22,Talca,Maule,"1 Sur 835, Talca, Chile",No,3,2,2,4.5,8,0,0,3.5,1.75,V2,No,0,No aplica,,255,510,25000,0,0,0,0,25000,Pendiente,,,
ORD-012,CASO_1,T04,Javiera Soto,t04@servicioenruta.cl,C2,D2,2026-09-22,Talca,Maule,"1 Sur 835, Talca, Chile",No,3,2,2,4.5,8,0,0,3.5,1.75,V2,Si,0,No aplica,,255,510,25000,0,22000,35216,0,82216,Pendiente,,,
ORD-013,CASO_1,T05,Matias Contreras,t05@servicioenruta.cl,C3,D1,2026-09-21,San Pedro de la Paz,Biobio,"Los Alamos 2093, San Pedro de la Paz, Chile",No,1,2,1,2.25,7.86,0,0,5.61,2.81,V3,Si,1,Centro de Concepcion,"San Pedro de la Paz, Chile",505,505,25000,50000,20600,34870,0,130470,Pendiente,,,
ORD-014,CASO_1,T06,Fernanda Araya,t06@servicioenruta.cl,C3,D1,2026-09-21,San Pedro de la Paz,Biobio,"Los Alamos 2093, San Pedro de la Paz, Chile",No,1,2,1,2.25,7.86,0,0,5.61,2.81,V3,No,1,Centro de Concepcion,"San Pedro de la Paz, Chile",505,505,25000,50000,0,0,0,75000,Pendiente,,,
ORD-015,CASO_1,T05,Matias Contreras,t05@servicioenruta.cl,C3,D2,2026-09-22,Penco,Biobio,"Penco, Biobio, Chile",No,1,2,1,2.25,8.32,0,0,1.57,0.79,V3,No,1,Centro de Concepcion,"Santa Juana, Chile",520,55,25000,50000,0,0,0,75000,Pendiente,,,
ORD-016,CASO_1,T06,Fernanda Araya,t06@servicioenruta.cl,C3,D2,2026-09-22,Penco,Biobio,"Penco, Biobio, Chile",No,1,2,1,2.25,8.32,0,0,1.57,0.79,V3,Si,1,Centro de Concepcion,"Santa Juana, Chile",520,55,25000,50000,0,3798,0,78798,Pendiente,,,
ORD-017,CASO_1,T05,Matias Contreras,t05@servicioenruta.cl,C3,D2,2026-09-22,Tome,Biobio,"Tome, Biobio, Chile",No,1,2,1,2.25,8.32,0,0,1.57,0.79,V3,No,0,No aplica,,545,55,0,0,0,0,0,0,Pendiente,,,
ORD-018,CASO_1,T06,Fernanda Araya,t06@servicioenruta.cl,C3,D2,2026-09-22,Tome,Biobio,"Tome, Biobio, Chile",No,1,2,1,2.25,8.32,0,0,1.57,0.79,V3,Si,0,No aplica,,545,55,0,0,0,0,0,0,Pendiente,,,
ORD-019,CASO_1,T05,Matias Contreras,t05@servicioenruta.cl,C3,D2,2026-09-22,Santa Juana,Biobio,"Irarrazaval 320, Santa Juana, Chile",No,1,2,1,2.25,8.32,0,0,1.57,0.79,V3,No,0,No aplica,,530,55,0,0,0,0,0,0,Pendiente,,,
ORD-020,CASO_1,T06,Fernanda Araya,t06@servicioenruta.cl,C3,D2,2026-09-22,Santa Juana,Biobio,"Irarrazaval 320, Santa Juana, Chile",No,1,2,1,2.25,8.32,0,0,1.57,0.79,V3,Si,0,No aplica,,530,55,0,0,0,0,0,0,Pendiente,,,
ORD-021,CASO_1,T05,Matias Contreras,t05@servicioenruta.cl,C3,D3,2026-09-23,Regreso a base,Metropolitana,"INACAP Sede Santiago Sur, Av. Vicuna Mackenna 3864, Macul, Santiago, Chile",Si,0,2,0,0,5.89,0,0,5.89,2.95,V3,Si,0,No aplica,,0,530,25000,0,20600,36597,0,82197,Pendiente,"Dia de regreso, sin instalacion",,
ORD-022,CASO_1,T06,Fernanda Araya,t06@servicioenruta.cl,C3,D3,2026-09-23,Regreso a base,Metropolitana,"INACAP Sede Santiago Sur, Av. Vicuna Mackenna 3864, Macul, Santiago, Chile",Si,0,2,0,0,5.89,0,0,5.89,2.95,V3,No,0,No aplica,,0,530,25000,0,0,0,0,25000,Pendiente,"Dia de regreso, sin instalacion",,
ORD-023,CASO_1,T07,Cristian Vega,t07@servicioenruta.cl,C4,D1,2026-09-21,Maipu,Metropolitana,"Av. 5 de Abril 0260, Maipu, Santiago, Chile",Si,3,2,2,4.5,5.53,0,0,1.03,0.52,V4,Si,0,No aplica,,18,36,25000,0,0,2486,0,27486,Pendiente,,,
ORD-024,CASO_1,T08,Paulina Herrera,t08@servicioenruta.cl,C4,D1,2026-09-21,Maipu,Metropolitana,"Av. 5 de Abril 0260, Maipu, Santiago, Chile",Si,3,2,2,4.5,5.53,0,0,1.03,0.52,V4,No,0,No aplica,,18,36,25000,0,0,0,0,25000,Pendiente,,,
ORD-025,CASO_1,T07,Cristian Vega,t07@servicioenruta.cl,C4,D2,2026-09-22,Pudahuel,Metropolitana,"Av. San Pablo 8444, Pudahuel, Santiago, Chile",Si,3,2,2,4.5,5.24,0,0,0.74,0.37,V4,No,0,No aplica,,22,44,25000,0,0,0,0,25000,Pendiente,,,
ORD-026,CASO_1,T08,Paulina Herrera,t08@servicioenruta.cl,C4,D2,2026-09-22,Pudahuel,Metropolitana,"Av. San Pablo 8444, Pudahuel, Santiago, Chile",Si,3,2,2,4.5,5.24,0,0,0.74,0.37,V4,Si,0,No aplica,,22,44,25000,0,0,3038,0,28038,Pendiente,,,
ORD-027,CASO_1,T07,Cristian Vega,t07@servicioenruta.cl,C4,D3,2026-09-23,Santiago,Metropolitana,"Plaza de Armas 444, Santiago Centro, Santiago, Chile",Si,3,2,2,4.5,5.13,0,0,0.63,0.32,V4,Si,0,No aplica,,10,20,25000,0,2600,1381,0,28981,Pendiente,,,
ORD-028,CASO_1,T08,Paulina Herrera,t08@servicioenruta.cl,C4,D3,2026-09-23,Santiago,Metropolitana,"Plaza de Armas 444, Santiago Centro, Santiago, Chile",Si,3,2,2,4.5,5.13,0,0,0.63,0.32,V4,No,0,No aplica,,10,20,25000,0,0,0,0,25000,Pendiente,,,
ORD-029,CASO_1,T09,Rodrigo Caceres,t09@servicioenruta.cl,C5,D1,2026-09-21,Lo Barnechea,Metropolitana,"Av. Lo Barnechea 1210, Lo Barnechea, Santiago, Chile",Si,3,2,2,4.5,8.12,0,0,1.37,0.69,V5,Si,0,No aplica,,22,48,25000,0,4800,3314,0,33114,Pendiente,,,
ORD-030,CASO_1,T10,Barbara Neira,t10@servicioenruta.cl,C5,D1,2026-09-21,Lo Barnechea,Metropolitana,"Av. Lo Barnechea 1210, Lo Barnechea, Santiago, Chile",Si,3,2,2,4.5,8.12,0,0,1.37,0.69,V5,No,0,No aplica,,22,48,25000,0,0,0,0,25000,Pendiente,,,
ORD-031,CASO_1,T09,Rodrigo Caceres,t09@servicioenruta.cl,C5,D1,2026-09-21,Puente Alto,Metropolitana,"Concha y Toro 1820, Puente Alto, Santiago, Chile",Si,1,2,1,2.25,8.12,0,0,1.37,0.69,V5,Si,0,No aplica,,24,48,0,0,0,0,0,0,Pendiente,,,
ORD-032,CASO_1,T10,Barbara Neira,t10@servicioenruta.cl,C5,D1,2026-09-21,Puente Alto,Metropolitana,"Concha y Toro 1820, Puente Alto, Santiago, Chile",Si,1,2,1,2.25,8.12,0,0,1.37,0.69,V5,No,0,No aplica,,24,48,0,0,0,0,0,0,Pendiente,,,
ORD-033,CASO_1,T09,Rodrigo Caceres,t09@servicioenruta.cl,C5,D2,2026-09-22,Melipilla,Metropolitana,"Serrano 1550, Melipilla, Chile",Si,2,2,1,2.25,7.87,0,0,3.37,1.69,V5,No,0,No aplica,,68,216,25000,0,0,0,0,25000,Pendiente,,,
ORD-034,CASO_1,T10,Barbara Neira,t10@servicioenruta.cl,C5,D2,2026-09-22,Melipilla,Metropolitana,"Serrano 1550, Melipilla, Chile",Si,2,2,1,2.25,7.87,0,0,3.37,1.69,V5,Si,0,No aplica,,68,216,25000,0,11200,14915,0,51115,Pendiente,,,
ORD-035,CASO_1,T09,Rodrigo Caceres,t09@servicioenruta.cl,C5,D2,2026-09-22,San Antonio,Valparaiso,"Av. Barros Luco 1881, San Antonio, Chile",No,2,2,1,2.25,7.87,0,0,3.37,1.69,V5,No,0,No aplica,,108,216,0,0,0,0,0,0,Pendiente,,,
ORD-036,CASO_1,T10,Barbara Neira,t10@servicioenruta.cl,C5,D2,2026-09-22,San Antonio,Valparaiso,"Av. Barros Luco 1881, San Antonio, Chile",No,2,2,1,2.25,7.87,0,0,3.37,1.69,V5,Si,0,No aplica,,108,216,0,0,0,0,0,0,Pendiente,,,
